"cuenta";"descripcion";"cuentaesp"
"212116";"Retenciones IR por pagar - régimen RIMPE";""
"212117";"Retenciones IR por pagar - tarjetas y medios de pago";""
"212118";"Retenciones IR por pagar - combustibles";""
"212119";"Retenciones IR por pagar - comisiones";""
"212120";"Retenciones IR por pagar - notarios y registradores";""
"212121";"Retenciones IR por pagar - actividades agropecuarias";""
"212122";"Retenciones IR por pagar - liquidaciones de compra";""
"212123";"Retenciones IR por pagar - reembolsos";""
"212124";"Retenciones IR por pagar - intereses y financiamiento";""
"212125";"Retenciones IR por pagar - enajenación de derechos";""
"212126";"Retenciones IR por pagar - autoretenciones";""
"212127";"Retenciones IR por pagar - rentas sujetas a impuesto único";""
"212128";"Retenciones IR por pagar - otros conceptos específicos";""
"212129";"Retenciones en la fuente de impuesto a la renta por pagar - colectiva";"RETRNC"
"212130";"Retenciones de impuesto a la renta sobre dividendos por pagar";""
"212131";"Retenciones de impuesto a la renta de no residentes por pagar";""
"212132";"Compras y pagos no sujetos a retención - control";""
"212133";"Otras retenciones de impuesto a la renta por pagar";""
"212134";"IVA retenido por pagar - servicios profesionales";""
"212135";"IVA retenido por pagar - arrendamiento de inmuebles";""
"212136";"IVA retenido por pagar - liquidaciones de compra";""
"212137";"IVA retenido por pagar - construcción";""
"212138";"IVA retenido por pagar - compra de bienes";""
"212139";"IVA retenido por pagar - prestación de servicios";""
"212140";"IVA retenido por pagar - importación de servicios digitales";""
"212141";"IVA retenido por pagar - otras operaciones";""
"212142";"IVA retenido por tarjetas - servicios";""
"212143";"IVA retenido por tarjetas - bienes";""
"212144";"IVA retenido por pagar - cuenta colectiva";"RETIVC"
"212145";"IVA retenido por pagar - casos especiales";""
"212146";"IVA generado en ventas por pagar";"IVAREP"
"212147";"Impuesto a la renta causado por pagar";""
"212148";"ICE por pagar";""
"212149";"ISD por pagar";""
"212201";"Aporte personal al IESS por pagar";""
"212202";"Aporte patronal al IESS por pagar";""
"212203";"Fondo de reserva por pagar";""
"212204";"Préstamos quirografarios e hipotecarios IESS por pagar";""
"212205";"IECE y SECAP por pagar";""
"212301";"Sueldos y salarios por pagar";""
"212302";"Décimo tercer sueldo por pagar";""
"212303";"Décimo cuarto sueldo por pagar";""
"212304";"Vacaciones por pagar";""
"212305";"Fondo de reserva por pagar a empleados";""
"212306";"15% participación de trabajadores por pagar";""
"212307";"Bonificaciones e indemnizaciones por pagar";""
"212401";"Préstamos bancarios - porción corriente";""
"212402";"Sobregiros bancarios";""
"212403";"Intereses por pagar";""
"212501";"Dividendos por pagar";""
"212502";"Préstamos de socios o accionistas por pagar";""
"212503";"Otras obligaciones con socios o accionistas";""
"212601";"Provisión por garantías";""
"212602";"Provisión por litigios";""
"212603";"Provisión por desmantelamiento y restauración";""
"212699";"Otras provisiones corrientes";""
"212701";"Pasivo por arrendamiento - porción corriente";""
"212801";"Cuentas por pagar relacionadas locales";""
"212802";"Cuentas por pagar relacionadas del exterior";""
"212901";"Retenciones judiciales por pagar";""
"212902";"Descuentos a empleados por pagar";""
"212903";"Seguros de empleados por pagar";""
"212904";"Anticipos recibidos de clientes";"ANTCLI"
"212905";"Depósitos recibidos en garantía";""
"212906";"Ingresos cobrados por anticipado";""
"212907";"Porción corriente de obligaciones emitidas";""
"212908";"Pasivos asociados con activos mantenidos para la venta";""
"212909";"Otros pasivos corrientes";""
"212999";"Acreedores varios - cuenta colectiva";"ACREED"
"221101";"Préstamos bancarios a largo plazo";""
"221102";"Obligaciones financieras del exterior a largo plazo";""
"221201";"Hipotecas por pagar a largo plazo";""
"221202";"Otras obligaciones financieras garantizadas";""
"222101";"Proveedores locales a largo plazo";""
"222102";"Proveedores del exterior a largo plazo";""
"222103";"Otras cuentas por pagar a largo plazo";""
"223101";"Pasivo por arrendamiento a largo plazo";""
"224101";"Provisión por jubilación patronal";""
